timestamp_ms,state,event,queue_depth,s0_pos,s1_pos,s2_pos,servo0_angle,tune_string,tune_attempt,measured_hz,target_hz,tune_servo_angle,note_index,note_string
1437,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1438,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1439,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1440,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1441,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1443,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1444,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1445,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1446,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1447,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1448,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1449,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1451,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1452,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1453,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1454,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1455,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1456,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1457,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1459,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1460,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1461,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1462,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1463,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1464,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1465,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1466,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1468,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1469,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1470,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1471,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1473,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1474,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1475,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1476,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1477,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1478,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1480,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1481,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1482,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1483,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1484,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1485,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1486,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1488,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1489,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1490,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1491,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1492,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1493,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1495,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1496,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1497,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1498,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1499,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1500,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1502,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1503,TUNING,TUNE_SAMPLE,0,,,,,0,0,196.66,196.00,90.0,,
1503,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1504,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1505,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1506,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1508,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1509,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
